"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","PHN","AKO","REFERENCE"
 205,"*ta▒m",2323,"wall","стена","tam","ta▒m","Liu 200, HMCH 230, KED 408."
 206,"*ka▀▒na▀▒rh", 878,"shadow","тень","k╞n╞l","ka▀▒na▀▒r (ka▀▒na▀▒rh-)","Nam 9, KED 232."
 207,"*ma▀█ta▀█i",1320,"joint (of bamboo; of body)","коленце (бамбука); сустав","madi","ma▀█ta▀█i","Nam 195, KED 561."
 208,"*kjЇ█n▒╞▒r",1054,"winter","зима","kjЇul","kjЇ█n▒╞▒r, kjЇ█n▒a▀▒r, kjЇ'Їr","Nam 42, KED 112."
 209,"*Ї█n▒╞█r-╞m", 600,"1 evening, dusk 2 dark, dusky","1 вечер, сумерки 2 темный","Їs╞r╞m 1, Їs╞re-hada 2","Ї█n▒╞█r-╞m 1","Nam 363, KED 1132."
 210,"*a█╢ha▀▒m", 412,"morning","утро","a╢him","a█╢ha▀▒m","Nam 342, KED 1077/"
 211,"*n╞█╢-",1420,"late","поздний","n╞t- [n╞╢-]","n╞█╢- (cf. also na█╢o█i 'evening')","Nam 90, 118, KED 375."
 212,"*ps-k╞▒i, *ps-ta▒i",1714,"1 time 2 mealtime","1 время 2 время еды","t:▓ 1, k:i 2","psk╞▒i, psta▒i 1","Nam 77, 147, KED 260, 418-419."
 213,"*pЇ▒nka▒i",1782,"lightning","молния","pЇng▓","pЇ▒nka▒i","Nam 256, KED 762."
 214,"*sЇ█ri▒",2005,"frost","иней","sЇri","sЇ█ri▒","Nam 299, KED 936."
 215,"*nёn",1232,"snow","снег","\Inun\i","nёn","Nam 115, KED 360."
 216,"*Ї█r-",  21,"1 to freeze 2 ice","1 замерзать 2 лед","їl- 1, Їr╞m 2","їr- 1, Ї█r╞▒m 2","Nam 361, 367, KED 1143, 1146."
 217,"*mu▒ru▒i",1333,"hail","град","muri (dial.)","mu▒ru█i","Nam 221, KED 658."
 218,"*ka▀▒ma▀▒r",1120,"drought","засуха","kamul","ka▀▒ma▀▒r","Nam 13, KED 17."
 219,"*ЇntЇk(h)",  38,"hill","холм","ЇndЇk","ЇnthЇk","Nam 366, KED 1139."
 220,"*pa█ho▒i", 160,"rock","скала","pawi","pa█ho▒i","Nam 239, KED 708."
 221,"*ko█ka▒i", 549,"peak, height","пик, вершина","kog▓","ko█ka▒i","Liu 61, HMCH 156, KED 134."
 222,"*t╞█r╞▒h",2444,"field, steppe","поле, степь","t╟l","t╞█r╞▒ (t╞█r╞▒h-)","Nam 171, KED 533."
 223,"*mё╤-",1353,"round, small round stone","круглый, маленький круглый камешек","mu╤i 'round thing, lump', mu╤uri 'round stone'","mё╤'╞▒ri▒-t╥r","Nam 224, KED 685."
 224,"*sjїm",2196,"island","остров","sЇm","sjїm","Nam 305, KED 953."
 225,"*ka▀█ra▀▒m",1129,"lake, big river","озеро, большая река","","ka▀█ra▀▒m","Nam 11."
 226,"*pa█ta▒-h, *pa█da▀▒r", 123,"sea","море","pada","pa█ta▒ (pa█ta▒h-), pa█ra▀▒r","Nam 236, 238, KED 703."
 227,"*mo▒s",1378,"pond, lake, swamp","пруд, озеро, болото","\Imot\i [mos]","mo▒s","Nam 218, KED 647."
 228,"*n░ih",1391,"river","река","\In┤\i","n░i (n░ih-)","Nam 101, KED 315."
 229,"*k░▀n▒",1003,"edge","край","\Ik░\i","k░▀n▒","Nam 28, KED 1."
 230,"*kjЇ▒r",2786,"wave","волна","kjЇl","kjЇ▒r","Nam 43, KED 116."
 231,"*na▀█ra▀█",1465,"ford; ferry point","брод; паромная переправа","naru","na▀█ra▀█","Nam 232, KED 288."
 232,"*to▒r",2721,"ditch","канава","tora╤","to▒r","Nam 159, KED 463."
 233,"*jЇ█h╞▒r",2494,"shallow place","отмель","jЇul","jЇ█h╞▒r","Nam 374, KED 1165."
 234,"*s░▀i-m",1892,"spring, shallow well","источник, мелкий колодец","s┤m","s░▀im, sa▀i'om","Nam 296, 297, KED 926."
 235,"*kЇ█phu▒m",1124,"foam","пена","kЇphum","kЇ█phu▒m","Liu 45, HMCH 161, KED 90."
 236,"*tЇ▒h",2334,"edge, border, foundation; yard","край, место, основание; двор","thЇ","thЇ▒ (thЇ▒h-)","Nam 457, KED 1699."
 237,"*ma█t(h)",1358,"place, enclosure, yard","место, огороженное место, двор","mada╤, (arch.) \Imat\i \I[mat,\i math]","ma█t, ma█th","Nam 199, 206, KED 560, 578, 596."
 238,"*su▒p(h), *su█ph╞▒r",2662,"wood, forest, thicket","лес, заросли","sup [suph], suphul","su▒p(h), su█ph╞▒r","Liu 476, 479, Nam 314, KED 1011, 1022."
 239,"*o█ijЇ▒s",1561,"plum","слива","ojat [ojas]","o█i'jЇ▒s, oi'ja╢, oi'jas","Nam 387, KED 1202."
 240,"*mЇ█s",1287,"wild apple; cherry","дикое яблоко; вишня","","mЇ█s","Nam 212."
 241,"*ka█i'o█m", 907,"prickly grass; nutwood","колючая трава; орешник","k▓am","ka█i'o█m, kai'am","Nam 28, 29, KED 72."
 242,"*sa▀█rko▒",2082,"peach, apricot","персик, абрикос","salgu","sa▀█rko▒","Nam 291, KED 896."
 243,"*to█tho▒ri▒",2474,"Aesculus turbinata Blume; acorn","конский каштан; желудь","tothori","to█tho▒ri▒","Liu 227, KED 470."
 244,"*ta▀▒ra▒i",2438,"currants, (KED) fruit of the Actinidia arguta","смородина","tar▓","ta▀▒ra▒i","Nam 135, KED 382."
 245,"*mЇ█r'u▒i",1285,"grapes","виноград","mЇru","mЇ█r'u▒i","Nam 212, KED 608."
 246,"*o█ta▀▒i", 651,"mulberry","шелковица (ягода)","oti","o█ta▀▒i","Nam 379, KED 1197."
 247,"*ki█╢a█╤",1098,"millet","просо обыкновенное","ki√a╤","ki█╢a█╤","Liu 115, KED 274."
 248,"*╢o█h",2616,"millet","просо","╢o","╢o█ (╢o█h-)","Nam 427, KED 1468."
 249,"*╥i",2498,"melon, cucumber","дыня, огурец","\Ioi,\i \Iw╣\i","╥i","Nam 386, KED 1202, 1220."
 250,"*ma█na▀▒r",1282,"garlic","чеснок","man╞l","ma█na▀▒r","Nam 192, KED 559."
 251,"*pha▒ ( ┌ *pa▒h)",1653,"onion","лук","pha","pha▒","Nam 461, KED 1728."
 252,"*na█n▒i▒",1523,"shepherd's purse","пастушья сумка","n▓╤i","na█n▒i▒","Nam 89, KED 328."
 253,"*njЇ█n╞█(k)",1481,"other, different","другой","jЇn╞","njЇ█n╞█ (njЇ█nk-)","Nam 106, KED 1161."
 254,"*ma▒h", 598,"potato, yam","картофель, ямс","\Im░\i","ma▒ (ma▒h-)","Nam 191, KED 558."
 255,"*ko█sa█ri▒", 933,"fern, bracken","папоротник","kosari","ko█sa█ri▒","Liu 65, KED 144."
 256,"*k╞▒irjЇ▒ki▒ ( ┌ *k╞▒rjЇ▒ki▒)", 828,"goose","гусь","kirЇgi","k╞▒irjЇ▒ki▒, k╞█rjЇ█ki▒, k╞rЇki, ki█rЇ█ki▒","Nam 66, 67, 76, Liu 96, 97, 109, 113, KED 264. The variant k╞▒irjЇ▒ki▒ is attested later than k╞rjЇki, but accounts well for the modern form with -i- (regularly < -╞i-). The most plausible PK reconstruction appears to be *k╞▒irЇ▒ki▒ (although *k╞▒rjЇ▒ki▒ is also not excluded)."
 257,"*nїn▒i▒",1508,"bustard","дрофа","nїs▓","nїn▒i▒","Nam 104."
 258,"*ko█ha█i", 945,"heron","цапля","","ko█ha█i","Nam 49."
 259,"*ta█ba█ki▒",2450,"a k. of bird of prey","вид хищной птицы","t:aogi 'crested ibis'; tok-suri 'eagle'","ta█'wa█ki▒","Nam 132, KED 387, 473 (tok-suri is explained as 'bald eagle', but tok- may well be a contraction of *tabak-)."
 260,"*pi█tu█ri▒",1646,"pigeon","голубь","pidulgi","pi█tu█ri▒, pita▀rki, pitori, pituroki","Nam 276, KED 851."
 261,"*tu▒ru▒mi▒",2276,"crane","журавль","turumi","tu▒ru▒mi▒","Liu 238, KED 504."
 262,"*o▒rhi█",2513,"duck","утка","╥ri","o▒rhi█","Nam 383, KED 1199."
 263,"*ka▀█rmjЇ▒ki▒", 732,"gull","чайка","kalm▓gi","ka▀█rmjЇ▒ki▒, ka▀rmjЇk╞i","Nam 20, KED 45."
 264,"*pjїp-s░i",1647,"jenny wren, Korean crow-tit","крапивник","p┤ps▓","pjїp-s░i (-s░i 'bird')","Nam 258, KED 756."
 265,"*ka▀█r-", 816,"crow, jackdaw","ворона, галка","kalgamagwi","ka▀█r-ka█ma█ko▒i","Nam 20, KED 42."
 266,"*pЇ▒ku▒k-",1693,"cuckoo","кукушка","p:Їk:ugi","pЇ▒ku▒k-s░i","Nam 254, KED 758."
 267,"*so▒i",2123,"kingfisher","зимородок","","so▒i-s░i","Nam 311."
 268,"*ka█ma█'o▒ti▒", 950,"cormorant","баклан","kamau√i","ka█ma█'o▒ti▒","Nam 4 (HMCH 184), KED 15."
 269,"*ko█ra▒ni▒", 572,"deer, reindeer, elk","олень, лось","korani","ko█ra▒ni▒","Liu 63, KED 138."
 270,"*sa█sa▀▒m",1973,"deer","олень","sas╞m","sa█sa▀▒m","Nam 284, KED 878."
 271,"*i▒rhi█", 627,"wolf","волк","iri","i▒rhi█","Nam 406, KED 1327."
 272,"*nЇ█╤'u▒ri▒",1229,"otter","выдра","","nЇ█╤'u▒ri▒","Nam 105."
 273,"*jЇ▒m-sjo▒",1398,"goat","коза","jЇmso","jЇ▒m-sjo▒","Nam 377, KED 1183."
 274,"*sa█ski▒",2168,"young of animals","детеныш животных","s▓k:i","sa█ski▒","Nam 294, KED 920."
 275,"*hjЇ",2067,"a house rafter","стропило, балка","sЇk:ar▓, dial. hjЇk:ar▓","hjЇ","Nam 488, KED 933."
 276,"*jЇ█n▒", 622,"fox","лиса","jЇu","jЇ█n▒, jЇ█n▒╞█, jЇn▒a▀","Nam 374, 377, KED 1164."
 277,"*sa▀█rk",2109,"badger; wild cat","барсук; дикая кошка","sak [salk]","sa▀█rk","Nam 292, KED 901."
 278,"*k╥m", 814,"bear","медведь","k╥m","k╥m","Nam 51, KED 161."
 279,"*ma▀█r",1348,"horse","лошадь","\Imal\i","ma▀█r","Nam 201, KED 578."
 280,"*tho▒ski▒",2419,"hare","заяц","thok:i","tho▒ski▒","Nam 459, KED 1705."
 281,"*ta▀█ra█mi▒", 386,"flying squirrel","белка-летяга","taram-╢wi","ta▀█ra█mi▒","Nam 135, KED 382."
 282,"*mi█r╞▒",1322,"dragon","дракон","","mi█r╞▒","Nam 233."
 283,"*kїi", 783,"crab","краб","\Ik╣\i","kїi","Liu 51, KED 106."
 284,"*so█ko▒ari▒",1896,"perch, (KED) a mandarin fish (Siniperca scherzeri)","окунь","s:ogari","so█ko▒ari▒","Nam 307, KED 969."
 285,"*╢jo█ka█i", 303,"oyster, shell, clam","моллюск, раковина","╢og▓","╢jo█ka█i","Nam 432, KED 1469."
 286,"*ka█mo▒r-thi█", 744,"eel; (KED) snake fish (Channa argus), snakehead, mullet","угорь","kamul╢hi","ka█mo▒thi█, kamorthi","Nam 4, KED 17."
 287,"*po█k",1614,"porpoise, (KED) globefish, swellfish, puffer","дельфин","pog-Ї, pok-╢▓╤i","po█k","Liu 388, KED 798."
 288,"*pi█'u▒t",1664,"mackerel, (KED) herring","скумбрия, макрель","piut [pius]","pi█'u▒t","Nam 278, KED 856."
 289,"*mЇ█iju█ki▒",1254,"trout; (KED) catfish, wels, horned-pout","форель","megi","mЇ█iju█ki▒","Nam 213, KED 616."
 290,"*ko▒n", 721,"swan","лебедь","koni","ko▒n","Nam 50, KED 136."
 291,"*╢a▀█n╢a▒ri▒",1924,"dragon-fly","стрекоза","╢am╢ari","╢a▀█n╢a▒ri▒","Nam 416, KED 1396."
 292,"*pa▒nto▒",1860,"firefly","светляк","pandi","pa▒nto▒, pa▒nto█i","Nam 243, KED 716."
 293,"*kЇ█n▒u▒i", 920,"1 earth-worm  2 intestinal worm, ascarid","1 земляной червь 2 глист","kЇwi 2","kЇ█n▒u▒i 1","Nam 34, KED 87."
 294,"*╢i█nЇ▒i", 283,"centipede, multipede","стоножка, многоножка","╢ine","╢i█nЇ▒i","Liu 681, KED 1527."
 295,"*ma▀█ija█mi▒",1381,"cicada","цикада","m┤mi","ma▀█ija█mi▒","Nam 207, KED 599."
 296,"*pЇ█r-",1778,"worm, insect","червь, насекомое","pЇlle","pЇ█r'Їi","Nam 256, KED 766."
 297,"*hjЇ█",1982,"nit","гнида","sЇkh▓","hjЇ█","Nam 488, KED 939. Modern sЇkh▓ is a dialectal form < *hjЇ-kai."
 298,"*╢o▒m", 321,"a k. of worm, teredo; poisonous insect, poison","червь-древоточец","╢om","╢o▒m","Liu 665, KED 1482."
 299,"*ko▒ri▒",1149,"basket","корзина","kori","ko▒ri▒","Liu 64, KED 140."
 300,"*m░r",1298,"speech","речь","m░l","m░r","Nam 200, KED 579."
 301,"*Ї█rku█r", 659,"shape, appearance","форма, вид","k:ol","Ї█rku█r","Nam 367, KED 157."
 302,"*pa▒ki█",1739,"top of the head","темя, верхушка головы","","tjЇ▒╤-pa▒ki█ (tjЇ▒╤- < Chin.)","Nam 155."
 303,"*ni█ma▒h",1498,"forehead","лоб","ima","ni█ma▒ (ni█ma▒h-)","Nam 121, KED 1328."
 304,"*ta▀█iko█r",2426,"forehead","лоб","t▓guri","ta▀█iko█r","Nam 147, Liu 188."
 305,"*s-pa▒m",1777,"cheek","щека","p:jam","spa▒m","Nam 248, KED 758."
 306,"*╢um", 298,"fist, handful","кулак, горсть","╢ёm, ╢umЇk","╢u▒m, ╢u█mЇ█ku▒i","Nam 433, 434, KED 1496, 1509. Original tone is not quite clear."
 307,"*╢i█p",2621,"house","дом","╢ip","╢i█p","Liu 687, KED 1554."
 308,"*po▒r-",1855,"cheek","щека","pol","po▒-╢jo▒ka▒i","Nam 261, KED 803."
 309,"*pu█thjЇ█",1672,"pupil of the eye","зрачок глаза","nun-pu╢hЇ","nu▒ns-pu█thjЇ█","Nam 116, KED 363. -pu█thjЇ█, originally "child" (with a widely spread metaphor "pupil of the eye" = "child of the eye") is folk-etymologically perceived as = puthjЇ "Buddha"."
 310,"*tu█'Ї▒i",2396,"covering, cover","покрышка, крышка","t:uk:Ї╤","tu█'Ї▒i","Nam 166, KED 501."
 311,"*sЇ█m",1935,"eyebrow","бровь","","nu▒n-sЇ█m","Nam 115."
 312,"*si█'u▒r",2009,"string, sinew; bow string","веревка, жила; тетива","siwi","si█'u▒r","Nam 326, KED 1040."
 313,"*ku█mi█t", 917,"hair on temples","волосы на висках","kwimit [kuimith]","ku█mi█t, kumis","Nam 59, 65, KED 228. Both variants with -t and -s are early attested and it is hard to decide which one is original (because of the early confusion of -t and -s).  The MKor. variant kui-mit(h), whence modern kwimit, is obviously a result of reinterpreting the word as *kui-mith 'roots of the ears'."
 314,"*m╞█i'i█m",1359,"gums","десны","","ni█-s-m╞█i'i█m, ni▒-s-m╞█'jo█m, ni-s-m╞'╞m, ni-s-m╞i'jom  (ni- 'tooth'","Nam 127. The modern form it-mom is a result of reinterpreting the compound as 'tooth's flesh' (mom)."
 315,"*pa█to▒k",1719,"bottom, lower part","дно, нижняя часть","padak","pa█to▒k, pa█ta▒╤","Nam 237, KED 703."
 316,"*ka█ra█k",1164,"finger; pole","палец; палка","son-karak, karak","son█s-ka█ra█k 'finger', ka█ra█k 'pole'","Liu 19, KED 10."
 317,"*ku█p╞█rЇ█╤",1012,"elbow","локоть","phal-k:up","pha▀█r-ku█p╞█rЇ█╤","Nam 462, KED 1736."
 318,"*hЇ█tu▒i(h)",2664,"foot, leg","нога","","hЇ█thu▒i","Nam 485."
 319,"*ma▀█ra▀█",1345,"ridge (of roof)","конек (крыши)","maru","ma▀█ra▀█, ma▀r","Nam 195, Liu 285, 289, KED 561."
 320,"*pu▒ho▒a",1577,"lung","легкое","pua","pu▒ho▒a","Nam 266, KED 817."
 321,"*ps╞▒-",2012,"1 liver (KED: gall-bladder, gall) 2 bitter","1 печень 2 горький","s:╞lg▓ 1, s:╞- 2","ps╞▒rkЇ▒i 1, ps╞▒- 2","Nam 319, 321, KED 1024, 1027."
 322,"*t╞█╤", 393,"back","спина","t╞╤","t╞█╤","Liu 255, KED 546."
 323,"*s╞█in",2010,"shin, thigh","голень, бедро","","s╞█in-ta█ri█","Nam 323."
 324,"*ta█t-",2481,"to close","закрывать","\Itat-\i","ta█t-","Nam 139, KED 401."
 325,"*o█mi█no█i",1571,"buttocks, behind","ягодицы, задница","","o█mi█no█i","Nam 380."
 326,"*o█╢o▒m",2485,"urine, urinary bladder","моча, мочевой пузырь","o√um","o█╢o▒m","Nam 381, KED 1203."
 327,"*ku█rЇ█i",1150,"inner part of body, inner part of chest","внутренность, грудная полость","","ku█rЇ█i","Nam 58. It is not quite clear whether the word is the same as modern kure, hЇ-guri 'waist' (KED 199) - which seems to have a different origin, see under *kal▒bo."
 328,"*ma▀in",1337,"most, extremely, very","весь, самый, очень","m┤n","ma▀in","Nam 208, KED 603."
 329,"*ko▒r(╢hi▒)", 756,"brain, marrow","мозг","kol","kor, ko▒r-╢hi▒","Nam 51, KED 156. The meaning 'head' in modern dialects proves that the original meaning was 'brain, head' (in literary Korean the word usually means 'marrow' while 'brain' is expressed as mЇri-k:ol, lit. "head brain"). The meaning 'marrow' may have been additionally induced by the analogy with kol-su (MKor. kor-sju) 'bone marrow', borrowed from MC ░й┼ш kot-sjwe▒; but Kor. *kor itself has of course nothing to do with MC kot 'bone'."
 330,"*kёi-mЇ█ri▒",1112,"ankle (*leg-head)","лодыжка","","kёi-mЇ█ri▒","Nam 65."
 331,"*ёr-",2543,"to cry, weep","плакать, рыдать","ёl-","ёr-","Nam 392, KED 1246."
 332,"*╢a▀█╢ha▀▒i-",2159,"to sneeze","чихать","╢▓╢h▓-gi (n.)","╢a▀█╢ha▀▒i-","Nam 415, KED 1415."
 333,"*Ї█bi▒-", 410,"1 to be exhausted, hungry 2 to lack, be insufficient","1 быть истощенным, голодным 2 недоставать, не хватать","їp- [їps-]","Ї█'ui▒- 1, їpsi█w╞▒-, їps- 2","HMCH 95, Nam 369, KED 1150."
 334,"*╢┼-n, *╢huk-", 292,"1 fluid, liquid, sap 2 be moistened, wet","1 жидкость, сок 2 быть мокрым, влажным","╢┼n 1, ╢huk-, ╢huk╢huk-ha- 2","╢┼n 1, ╢huk-, ╢hu█k-╢hu█k-ha▀- 2","Liu 685, 701, Nam 450, KED 1543, 1635, 1637."
 335,"*st╞▒-m",2094,"1 sweat 2 water after washing rice","1 пот 2 вода после промывки риса","t:am 1, t:╞mul 2","st╞▒-m 1, st╞▒-m╞▒r 2","HMCH 209, Liu 249, KED 409, 526."
 336,"*╢jёpo▒k", 289,"furuncle, ulcer","нарыв, прыщ","╢ubu-kho 'red bulbous nose' ( = MKor. ╢jёpo▒k-ko█)","╢jёpo▒k","Nam 436, KED 1498."
 337,"*p░╤kui",1682,"flatulence, wind in the bowels","кишечные газы","pa╤gwi","p░╤kui","Nam 250, KED 736."
 338,"*ska▀▒i-",2038,"to awake","просыпаться","k:┤-","ska▀▒i-","Nam 29, KED 68."
 339,"*ko█ma▒", 479,"concubine","наложница","","ko█ma▒","Nam 46."
 340,"*sj░'o█╤",1966,"husband","муж","","sj░'o█╤","Nam 297."
 341,"*pha▀▒s", 202,"beans, peas","бобы, горох","phat [phath]","pha▀▒s","Nam 462, KED 1739."
 342,"*ma▀█t",1290,"the eldest","старший","\Imat\i","ma▀█t","Nam 199, KED 578."
 343,"*nu█'╞█i",1434,"(boy's) sister","сестра (мальчика)","nui","nu█'╞█i","Nam 115, KED 358."
 344,"*ha▒-",   0,"to be many, abundant, thickly growing","много, в изобилии, густо","","ha▒-","Nam 468."
 345,"*n╞█rk-",1452,"old","старый","n╞k- [n╞rk]","n╞█rk-","Nam 118, KED 373."
 346,"*k░▀rb-",1115,"1 twins 2 to compete, match, compare, line together  3 to form a couple","1 близнецы 2 соревноваться, сравнивать, выстраивать вместе 3 образовывать пару","karogi (arch.) 1, kap- [kalp-] (arch.), karu- 2","ka▀█r'o▒-ki▒ 1, ka▀█r'o▒- 3, k░▀rp- [k░▀rw-]  2","Nam 21, 23, KED 12, 48."
 347,"*╢hi-", 296,"to raise, rise","поднимать, подниматься","╢hi-","╢hi▒-","Nam 452, Liu 704, KED 1655."
 348,"*k╞▒r, *k╞▒rwЇ▒r", 501,"1 poetry, letter  2 to draw","1 поэзия, текст, буквы 2 рисовать, чертить","k╞l 1, k╟ri- 2","k╞r, k╞▒r'uЇ▒r 1, k╞▒ri▒- 2","Liu 98, 103, 104, KED 237, 247."
 349,"*kЇ█s / *ka█s", 776,"thing","вещь","kЇt [kЇs]","kЇ█s / ka█s","Nam 24, 39, KED 103."
 350,"*ki█s-", 778,"to rejoice","радоваться","kip:╞-","ki█s-","Nam 83, KED 267."
 351,"*st╞▒-",2115,"to scoop, ladle","черпать","t:╞-","st╞▒-","Nam 173, KED 523."
 352,"*╢jo█ha▀▒i", 342,"paper","бумага","╢o╤i","╢jo█ha▀▒i","Nam 432, KED 1486."
 353,"*pt╞▒-t",1673,"will, intention","воля, намерение","t:╞t [t:╞s]","pt╞▒t","Nam 174, KED 544."
 354,"*nu█ri▒",1518,"world, living place","мир, обиталище","nuri (arch.)","nu█ri▒","Nam 114, KED 357."
 355,"*sa█nha▀█i╤",2112,"hunting","охота","sanja╤","sa█nha▀█i╤","Nam 289, KED 869. In KED it is explained as a Chinese borrowing: дsжц 'going to the mountains', which is probably a folk etymology: in Middle Korean the word is usually not spelled with Chinese characters (see HMCH 307), means all sorts of hunting, while the Chinese compound does not denote hunting at all (just "mountain trip")."
 356,"*mo█n▒i▒-",1364,"to graze","пасти","","mo█n▒i▒-","Nam 216."
 357,"*hjїi-",1977,"to count","считать","h╣jari-, dial. h╣-","hjїi-","Nam 489, KED 1829, 1830."
 358,"*sa▀▒-n",1881,"grown-up","взрослый","","sa▀█n","Nam 289."
 359,"*na▒-",1446,"to go out, break forth","выходить, вырываться","na-","na▒-","Nam 86, KED 286."
 360,"*ko░╤", 961,"doll, mask, comedian","кукла, маска, актер","kw░╤d▓","ko░╤ta▒i","Liu 79, KED 184."
 361,"*sobija-ki",1983,"wedge, sharp stick","клин, острая палочка","s:w┤gi","so█i'ja█ki▒, sojaki","Nam 311, KED 995."
 362,"*╢╟n▒", 237,"1 shape, appearance, conduct 2 to make, produce","1 форма, вид, поведение 2 делать, производить","╢┼t [╢┼s] 1, ╢┼t- [╢is-] (╢i-) 2","╢╟n▒ 1, ╢┼s- (╢┼n▒-), ╢i█n▒- 2","Nam 441, 445, KED 1557."
 363,"*sj╥kjЇ▒╤",2170,"blind","слепой","s╥gjЇ╤","sj╥kjЇ▒╤","Nam 312, KED 969."
 364,"*t╥i", 348,"barbarian","варвар","tw╣","t╥i","Nam 161, KED 496."
 365,"*tёih",2264,"behind, back, North","зад, спина, север, конец","tw┼","tёi (tёih-)","Nam 168, KED 512."
 366,"*hu▒ri▒-",2051,"to charm, bewitch, seduce","завлекать, очаровывать","huri-, hori-","hu▒ri▒-","Nam 494, KED 1877."
 367,"*ta█ra█k",2447,"tower, upper story","башня, верхний этаж","tarak","ta█ra█k","Liu 192, KED 382."
 368,"*k░ka▒i",   0,"store, booth","лавка, будка","k░ge","k░ka▒i","Nam 2, HMCH 229, KED 3. The word is explained in KED as Chinese, from ░▓оa MC ka▄▒-ka▄ 'temporary building', but the reading kai for оa is quite irregular, and the explanation is most probably folk-etymological."
 369,"*poh",1772,"diaper, wrapping cloth","пеленки","\Ipo\i","po (poh-)","Nam 259, KED 786. Usually treated as a loan < Chin. ╜╚ id., but final -h in MKor. cannot be explained."
 370,"*pa▀█ra▀█-m",1698,"wall","стена","param","pa▀█ra▀█-m","Nam 241, KED 705."
 371,"*to█ri▒",2392,"cross-beam","поперечная балка","\Itori\i","to█ri▒","Liu 225, KED 465."
 372,"*ki█s╞▒rk", 891,"protrusion, edge of roof","выступ, край крыши","kis╞k [kis╞lk]","ki█s╞▒rk","Nam 79, KED 269."
 373,"*po█",  93,"beam, cross-beam","балка","\Ipo,\i t╞l-bo","po█","Nam 259, KED 786."
 374,"*ki█t", 740,"pole, pillar","столб, колонна","kidu╤, (arch.) kit [kit, kis]","ki█to█╤, kit","Nam 78, 80, KED 263, 278, 282."
 375,"*╢i▒to▒ri", 297,"pivot, hinge","шарнир, петля","╢idoli","╢i▒to▒ri","Liu 682, KED 1528. The explanation in KED < ╢i█- 'carry' + to█r- 'turn' is tonally implausible and obviously folk-etymological."
 376,"*pa█k", 204,"1 gourd; scoop 2 bamboo basket","1 тыква; черпак 2 бамбуковая корзина","pak 1, paguni 2","pa█ko█ni▒ 2","Nam 236, KED 702, 710."
 377,"*ta▀█ri█",2427,"bridge","мост","tari","ta▀█ri█","Nam 135, KED 383."
 378,"*ku█'╞█i",1058,"office, officer","чиновник, должностное лицо","","ku█'╞█i","Nam 60."
 379,"*pa▒", 139,"place where, circumstance (aux. word)","место, где; обстоятельство (служ. слово)","\Ipa\i","pa▒","Liu 359, KED 701."
 380,"*╢jЇ█╢Ї▒i",2589,"shop, market-place","рынок, лавка","╢Ї√a","╢jЇ█╢Ї▒i","Nam 425, KED 1421."
 381,"*ma▀█n▒a▀█rh",1279,"village, vicinity","деревня, окрестности","ma╞l","ma▀█n▒a▀█r (ma▀█n▒a▀█rh-)","Nam 196, KED 564."
 382,"*s╞▒ku▒r",2131,"province, village","провинция, деревня","sigol","s╞▒ku▒r, s╞▒ko▒r, s╞▒ka▀█wa▀█r, s╞▒ka▀▒'o█r","Nam 317, KED 1033."
 383,"*╢ha▒i",2704,"section of a building","секция здания","╢h▓","╢ha▒i","Liu 695, KED 1576."
 384,"*Їru-", 591,"to rub, stroke, touch","тереть, гладить, трогать","Їru-(man√i-)","","KED 1127."
 385,"*ku█rhЇ▒╤",1139,"tunnel, cave, hole","туннель, пещера, дыра","kurЇ╤","ku█rhЇ▒╤","Nam 63, KED 199."
 386,"*ka█ma▒", 758,"cauldron","котел","kama","ka█ma▒","Nam 4, KED 14."
 387,"*kosak", 862,"a piece of wood reinforcing a dovetail joint","деревянная распорка","kosak","","KED 144."
 388,"*to█ma▒",2463,"wooden board (for chopping meat), wooden table","деревянная доска (для рубки мяса), деревянный стол","toma","to█ma▒","Nam 157, KED 465."
 389,"*si█r╞█",2031,"earthenware jug","глиняный кувшин","siru","si█r╞█","Nam 325, KED 1036."
 390,"*to█s",   0,"mat","","","to█s","[Cf. MJap. (Iwanami 878) tusi 'attic, loft'?]"
 391,"*sa█t",2548,"thin mat","тонкая циновка","\Isat\i [sas], sat-╢ari","sa█t","Nam 290, KED 906. In modern Korean mixed with the reflex of *sa█s- 'bamboo chip', see *si┐u▒sa."
 392,"*ta█ri█-", 373,"to iron","утюжить","tari-","ta█ri█-","Nam 129, KED 383. Cf. also Mod. Kor. taru- 'to tan, make pliant' (KED 382)."
 393,"*ma▒r",1302,"a measure (18 kg)","мера веса","\Imal\i","ma▒r","Nam 200, KED 578."
 394,"*p╟d-, *p╞▒dVh", 158,"1 to swell, get bloated (in water) 2 glue, paste, gruel","1 разбухать 2 клей, крахмал, каша","\Iput-\i (pur-) 1, phul 2","ph╞▒r 2","Nam 465, KED 832, 1763."
 395,"*ku▒ki█", 887,"vessel, dipper, a measure of weight","сосуд, черпак, мера веса","kugi","ku▒ki█","Liu 82, HMCH 243, KED 196."
 396,"*to█k",   0,"earthenware vessel","глиняный сосуд","tok","to█k","Liu 228, KED 471."
 397,"*ta▀█ra█╢hi▒",2414,"basket","корзина","tar▓k:i","ta▀█ra█╢hi▒","Nam 135, KED 382."
