"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","PHN","AKO","REFERENCE"
  43,"*s-p╞▒r", 646,"horn","рог","p:ul","sp╞▒r","Nam 274, KED 832."
  44,"*na█",1524,"I","я","\Ina\i","na█","Nam 85, KED 284."
  45,"*mu█d-Vph > *mu█rVph",1350,"knee","колено","mur╞p","mu█ru█p(h), mu█ra▀█p","Nam 221, KED 657."
  46,"*░r-",  26,"to know","знать","░l-","░r-","Nam 346, KED 1089."
  47,"*ni▒ph",1209,"leaf","лист","\Iip\i [iph]","ni▒p (ni▒ph-)","Nam 126, KED 1370."
  48,"*nёb-",1445,"to lie","лежать","nup- (nu-)","nёp- (nёw-)","Nam 116, KED 365."
  49,"*ki█r-", 829,"1 long 2 to prolong","1 длинный 2 удлинять","k┼l- 1, kir╞- 2","ki█r'u▒- 2","Nam 81, KED 264, 279"
  50,"*ni▒",1422,"louse","вошь","\Ii\i","ni▒","Nam 119, KED 1316."
  51,"*a█ta▀▒", 453,"man","мужчина","","a█ta▀▒","HMCH 212."
  52,"*m░n(h)-",1249,"many","много","m░n- [m░nh-]","m░n-ha▀▒-","Nam 199, KED 578."
  53,"*sa▀▒rh",2169,"flesh, meat; skin","мясо; кожа","\Isal\i","sa▀▒r [sa▀▒rh-]","Nam 290, KED 895."
  54,"*ta▀▒r",2394,"moon","луна","tal","ta▀▒r","Nam 140, KED 401."
  55,"*m╥i(h), *mo█ro▒",1377,"1 mountain  2 wood, forest","1 гора  2 лес","mw╣, \Ime\i (arch.) 1","m╥i [m╥ih-] 1, mo█ro▒ 1, 2","Nam 215, 219, KED 616, 651."
  56,"*i▒p", 606,"mouth; to recite","рот; рассказывать, декламировать","ip","i▒p 'mouth', i█p(h)- 'to recite'","Nam 406, 407, 409, KED 1363."
  57,"*(n)i█r(h)-",1440,"1 name 2 say, tell","1 имя 2 сказать","ir╞m 1, ir╞- 2","i█rhu▒m 1, ni█ra▀▒-, ni█r'o▒- 2","Nam 406, 120, 124, KED 1326, 1327. The noun seems to be clearly deverbal, but is attested only without the initial *n-."
  58,"*mjЇ-k",1336,"neck, throat","шея, горло","mjЇk","mjЇk","Nam 213, KED 619."
  59,"*sa▒i",2553,"new","новый","\Is▓\i","sa▒i","Nam 295, KED 919."
  60,"*pa▒m",1707,"night","ночь","pam","pa▒m","Nam 248, KED 733."
  61,"*ko▒h",1057,"nose","нос","kho","ko▒ (ko▒h-)","Nam 45, KED 1673."
  62,"*a█n-",  74,"not","не","an(i)-","a█n(i▒)-","Nam 334, KED 1068."
  63,"*ha▀█na█h",2111,"one","один","hana","ha▀█na█ (ha▀█na█h-)","Nam 469, KED 1780."
  64,"*s░r-",2554,"1 to live 2 person","1 жить 2 человек","s░l- 1, s░ram 2","s░r- 1, s░ra▀▒m 2","Nam 290, 293, KED 871, 897."
  65,"*pi▒",1770,"rain","дождь","\Ipi\i","pi▒","Nam 275, KED 848."
  66,"*p╞█rk-",1678,"red","красный","puk- [pulk]","p╞█rk-","Nam 274, KED 844."
  67,"*ki▒rh", 515,"road","дорога","kil","ki▒r (ki▒rh-)","Nam 81, KED 278."
  68,"*p╞█rha▀▒i",1853,"root","корень","p:uri","p╞rha▀i, p╞rh╞i, pu█rho▒i, pu█rhu▒i","Nam 268, 274, KED 814."
  69,"*tonkor-",2432,"round","круглый","tu╤g╞l-, to╤g╞l-","to╤kori-","Nam 161, KED 487, 511."
  70,"*mo█r'a▒i",1268,"sand","песок","mor▓","mo█r'a▒i","Nam 218, KED 629."
  71,"*ta▀█rk",2437,"fowl","курица, петух","tak [talk]","ta▀█rk","Nam 142, KED 407."
  72,"*ka▒-", 495,"to go (away)","идти, уходить","ka-","ka▒-","Nam 2, KED 6."
  73,"*po█-",  90,"to see","видеть","po-","po█-","Nam 259, KED 788."
  74,"*nЇm-ku-",1219,"to swallow","глотать","nЇmgu-","","SKE 164."
  75,"*psi▒",1769,"seed","семя","s:i","psi▒","Nam 326, KED 1032."
  76,"*a█n╢-",  73,"to sit","сидеть","an╢-","a█n╢-","Nam 346, KED 1088."
  77,"*ka█╢", 695,"skin","кожа","ka√uk, sal-gat (sal-ga╢h-), (arch.) kat (ka╢h-)","ka█╢o█k, ka█╢h (ka█s)","KED 25, 63, 64, 896."
  78,"*╢a▒(╤)-",2613,"to sleep","спать","╢a-, ╢a-si-, ╢umu-si-","╢a-, ╢a▒-si█-, ╢a'a▀p-so-","Nam 411, KED 1374, 1380, 1497. The modern honorific ╢umu-si- is probably < *╢a╤wu-si- ┌ *╢a╤up-si- = MKor. ╢a'a▀p-so-."
  79,"*╢j░k-, *╢jїk-", 309,"small","маленький","╢ak-","╢j░k-, ╢jїk-","Nam 419, 425, KED 1386."
  80,"*na▀▒i",1477,"smoke","дым","\In▓\i","na▀▒i","Nam 102, KED 315."
  81,"*sjЇ▒-",1890,"stand","стоять","s╞-, sЇ-","sjЇ▒-","Nam 303, KED 1023."
  82,"*pjїr",1802,"star","звезда","pjЇl","pjїr","Liu 383, HMCH 151, KED 780."
  83,"*t╥rh",2246,"stone","камень","tol","t╥r (t╥rh-)","Nam 159, KED 478."
  84,"*ha▀▒i",2046,"sun; year","солнце; год","\Ih▓\i","ha▀▒i","Nam 482, KED 1808."
  85,"*hЇ█i-",2504,"to swim","плавать","h╣-, hejЇm-╢hi-","hЇ█i-, hЇ█i-jo█m-","Nam 486, 487,  KED 1829, 1830."
  86,"*s-ko█ri▒",1074,"tail","хвост","k:ori","sko█ri▒","Nam 50, KED 140."
  87,"*tjЇ▒",2286,"that","тот","╢Ї","tjЇ▒","Nam 154, KED 1417."
  88,"*i▒", 582,"this","этот","\Ii\i","\Ii▒\i","Nam 397, KED 1316."
  89,"*k╞", 895,"this, that","этот, тот","\Ik╞\i","\Ik╞\i (k╟-i)","Nam 76, KED 231."
  90,"*nЇ█",1385,"thou","ты","\InЇ\i","nЇ█","Nam 103, KED 329."
  91,"*ka▀█ro▒-",1041,"to say (a defective verb)","говорить (глагол, вводящий прямую речь)","kalodwe","ka▀█ro▒da▀▒i","Nam 11, KED 12."
  92,"*ni▒",1521,"tooth","зуб","\Ii\i","ni▒","Nam 119, KED 1316."
  93,"*na█mo█k",1400,"tree","дерево","namu","na█mo█ (na█mk-)","Nam 87, KED 288."
  94,"*tubu, *tuburh",2247,"two","два","tёl, tё-","tёr (tёrh-), tu'ur, tё-","Nam 166, KED 501, 509. The variant *tё- (*tubu-) is attested as the first member of numerous compounds, both in Middle and Modern Korean."
  95,"*kїd-", 807,"walk","ходить","kїt- (kїr-)","kїt- (kЇr-)","Nam 32, 37, KED 95."
  96,"*ta▀█-",1609,"warm, hot","теплый, горячий","t:at:╞t-ha- [t:at:╞s]","ta▀█-sa▀█-","Nam 136, KED 381."
  97,"*m╞▒r",1335,"water","вода","mul","m╞▒r","Nam 229, KED 675."
  98,"*u▒ri▒", 126,"we","мы","uri","u▒ri▒","Nam 389, KED 1238."
  99,"*m╞█",1379,"what","что","muЇt","m╞█-","Nam 225, KED 663."
 100,"*ha▀▒i-",2036,"white","белый","\Ihi-\i","ha▀▒i-","Nam 482, KED 1898."
 101,"*nu▒-",1552,"who","кто","nu-gu","nu▒-","Nam 114, KED 356."
 102,"*kjї-╢i█p", 422,"woman","женщина","kj╣√ip","kjї╢i█p","Nam 42, KED 132. Historically a compound (*'woman' + 'house, family'), with ╢ip 'house' in the second part."
 103,"*nu█r╞▒-",1541,"yellow","желтый","nur╞-, nor╞-","nu█r╞▒-","Nam 114, KED 357."
 104,"*mїr-",1257,"far","далекий","mїl-","mїr-","Nam 211, KED 613."
 105,"*m╞█-",  35,"heavy","тяжелый","mugЇp- (mugЇw-)","m╞█-kЇ▒p- (m╞█-kЇ▒w-)","Nam 225, KED 652."
 106,"*kЇ█╢h",2653,"outer appearance, exterior","внешний вид, внешность","kЇ√uk, kЇt [kЇth]","kЇ█╢h","Nam 40, KED 87, 104."
 107,"*so█ko█m",1895,"salt","соль","sog╞m","so█ko█m","Nam 306, KED 970."
