"NUMBER","CHARREF","CHARACTER","MCINFO","ZIHUI","BEIJING","JINAN","XIAN","TAIYUAN","HANKOU","CHENGDU","YANGZHOU","SUZHOU","WENZHOU","CHANGSHA","SHUANGFENG","NANCHANG","MEIXIAN","GUANGZHOU","XIAMEN","CHAOZHOU","FUZHOU","SHANGHAI","ZHONGYUAN"
 552, 873,"征","梗開三平清章","1767 2462","c̣əŋ 11","c̣əŋ 11","c̣əŋ 11","cəŋ 1","cən 11","cən 11","cən 11","cən 11","ceŋ 11","c̣ən 11","ćin 11","cən 11","cən 11","čîŋ 11","cîŋ 11","ceŋ 11","ciŋ 11","cəŋ 1","čiəŋ 1"
 553, 875,"彼","止開三上紙幫","1764 0531","pi 2","pei 11","pi 2","pi 1","pi 2","pi 2","pi 2","pe̲ 11","pei 21","pi 2","pi 2","pi 2","pi 2","pei 21","pi 2","pi 21","pi 2","pi 3","pei 2"
 554, 877,"忠","通合三平東知","1813 2659","c̣uŋ 11","c̣uŋ 11","pfoŋ 11","cuŋ 1","coŋ 11","coŋ 11","cɔuŋ 11","coŋ 11","ćyoŋ 11","c̣oŋ 11","ćin 11","cuŋ 11","cuŋ 11","čuŋ 11","tiɔŋ 11","toŋ 11","tyŋ 11","",""
 555, 878,"忽","臻合一入沒曉","1824 0922","xu 11","xu 11","xu 11","xuəʔ 41","xu 12","fu 12","xuəʔ 4","huôʔ 41","śy 41","fu 4","xəu 12","фut 41 (lit.); фuɛt 41","fut 41","fat 41","hut 41","huk 41","xuɔʔ 41","huôʔ 4","xu 42"
 556, 879,"念","咸開四去煔泥","1819 1811","nian 3","ńiã 3","ńiã 3","niɛ 3","nian 3","ńian 3","nî̃ 3","ńî 32","ńi 32","ńiẽ 31 (lit.); ńiẽ 32","ńî̃ 32","ńiɛn 32","ńiam 3","nim 32","liam 32","liəm 22","nieŋ 32","ńî 32","niem 3"
 557, 880,"忿","臻合三去問敷","1825 2042","fən 3","fẽ 3","fẽ 3","fəŋ 3","fən 3","fən 3","fən 3","vən 32","vaŋ 22","fən 31","ɣuan 32","фun 32","fun 3","fan 22","hun 2","huŋ 31","xuŋ 2","fəŋ 3","fən 3"
 558, 883,"怯","咸開三入業溪","1845 0358","ćhie 3","ćhie 3","ćhie 11","ćhiəʔ 41","ćhie 12","ćhie 12","ćhiəʔ 4","ćhiôʔ 41","ćhia 41","ćhie 4","khiɛ 12","ćhiɛt 41","chiɛt 41","hip 43","khiap 41","khiəp 41","khyɔʔ 41","ćhyîʔ 4","khie 42"
 559, 886,"怪","蟹合二去怪見","1843 1122","kuai 3","kuɛ 3","kuɛ 3","kuai 3","kuai 3","kuai 3","kuɛ 3","kue̲ 31 (lit.); kua̲ 31","ka 31","kuai 31","kua 31","kuai 31","kuai 3","kuai 31","kuai 31; kua 31","kuai 31","kuai 31","kua 3","kuai 3"
 560, 887,"怕","假開二去禡滂","1830 0019","pha 3","pha 3","pha 3","pha 3","pha 3","pha 3","phai 3","pho 31","pho 31","pha 31","pho 31","pha 2","pha 3","pha 31","pha 31","pha 31","pha 31","pho 3","pha 3"
 561, 889,"性","梗開三去勁心","1840 2598","śiŋ 3","śiŋ 3","śiŋ 3","śiŋ 3","śin 3","śin 3","śĩ 3","sin 31","seŋ 31","sin 31","śin 31","śin 31","sin 3","šîŋ 31","sîŋ 31 (lit.); sĩ 31","sẽ 31","seiŋ 31","siŋ 3","siəŋ 3"
 562, 893,"或","曾合一入德匣","2057 0313","xuo 3","xuei 12","xuei 2","xuəʔ 42","xuô 12","xue 12","xoʔ 4","ɦoʔ 42","va 42","xo 4","xuɛ 12","фuɛt 41","fɛt 42","uak 42","hîk 42","kok 42","xöyʔ 42","uaʔ 42",""
 563, 895,"房","宕合三平陽奉","2075 2236","faŋ 12","faŋ 12","faŋ 12","fã̲ 1","faŋ 12","faŋ 12","fâŋ 12","va̲ŋ 12","ɦuɔ 12","fan 12","ɣaŋ 12","фuɔŋ 31","fɔŋ 12","fɔŋ 12","pɔŋ 12 (lit.); paŋ 12","paŋ 12","puŋ 12","vã̲ 32","faŋ 12"
 564, 897,"所","遇合三上語生","2076 0284","suo 2","ṣuə 2","fo 2","suə 2","so 2","so 2","so 2","səu 2","sɔ 21","so 2","sû 2","so 2","sɔ 2","šɔ 21","sɔ 2","so 21","su 2","su 3","šu 2"
 565, 898,"承","曾開三平蒸襌","2110 2472","c̣həŋ 12","c̣həŋ 12","c̣həŋ 12","chəŋ 1","chən 12","chən 12","chən 12","zən 12","zeŋ 12","c̣ən 12","ʒ́in 12 (lit.); din 12","chən 12","sən 12","šîŋ 12","sîŋ 12","seŋ 12","siŋ 12","zəŋ 32","čhiəŋ 12"
 566, 899,"拉","咸開一入合來","2139 0043","la 11","la 11","la 11","la 1","na 11","na 11","la 11","la̲ 11","la 11","na 11","na 12","la 11","la 11","lāi 11","la 11","la 11","la 11","la 1","la 43"
 567, 900,"拌","山合一上緩並","2142 1635","pan 3","pã 3","pã 3","pä̃ 3","pan 3","pan 3","puõ 3","bö 32","bö 22","põ 31 (lit.); põ 32","biɛ̃ 32","phɔn 32","phan 3","phun 31","phuan 32","phuəŋ 31","puaŋ 32","pö 32",""
 568, 904,"抹","山合一入末明","2130 0238","mo 3  (lit.); mo 2","mə 2","mo 11","məʔ 41","mo 2","mo 2","maʔ 4","môʔ 42","mö 42","mo 4","miɛ 31","mɔt 41","mat 41","mut 43","buat 42 (lit.); buaʔ 42","buaʔ 41","muaʔ 41 (lit.); mo̲ʔ 41","môʔ 42","muo 43"
 569, 905,"拒","遇合三上語群","2147 0971","ćy 3","ćy 3","ćy 3","ćy 3","ćy 3","ćy 3","ćy 3","ʒ́y 32","ʒ́y 22","ćy 31","dy 32","ćhy 32","ki 2","kö̲y 32","ku 32","kɨ 22","köy 31","",""
 570, 906,"招","效開三平宵章","2156 1353","c̣au 11","c̣ɔ 11","c̣au 11","cau 1","cau 11","cau 11","cɔ 11","cä 11","ćiɛ 11","c̣au 11","ćiə 11","cɛu 11","cau 11","čiu 11","ciau 11 (lit.); cio 11","ciəu 11","cieu 11","cɔ 1","čiau 1"
 571, 907,"披","止開三平支滂","2126 0548","phi 11; phei 11","phei 11","phɛ 11","phi 1","phei 11","phei 11","phi 11","phi 11","phei 11","phi 11; phei 11","phi 11","phi 11","phi 11","phei 11","phi XH","phi 11","phie 11","phi 1","phei 1"
 572, 909,"拔","山開二入黠並","2149 0013","pa 12","pa 12","pha 12","paʔ 42","pa 12","pa 12","paʔ 4","baʔ 42","bo 42","pha 4","pha 31","phat 41","phat 42","pat 42","puat 42 (lit.); puiʔ 42","puek 42","paʔ 42","paʔ 42","pa 41"
 573, 910,"拋","效開二平肴滂","2141 1284","phau 11","phɔ 11","phau 11","phau 1","phau 11","phau 11","phɔ 11","phä 11","phuɔ 11","phau 11","phə 11","phau 11","phau 11","phāu 11","phau 11 (lit.); pha 11","phau 11","phau 11","phɔ 1","phau 1"
 574, 911,"拈","咸開四平添泥","2138 1805","nian 12","ńiã 12","ńiã 12","niɛ 1","nian 11","ńian 11","nî̃ 11","ńî 11","ńi 12","ńiẽ 11","ńî̃ 11","ńiɛn 31","ńiam 11","nim 11","liam 11 (lit.); nĩ 11","niəm 11","lieŋ 11","ce̲ 1","niem 12"
