"NUMBER","CHARREF","CHARACTER","MCINFO","ZIHUI","BEIJING","JINAN","XIAN","TAIYUAN","HANKOU","CHENGDU","YANGZHOU","SUZHOU","WENZHOU","CHANGSHA","SHUANGFENG","NANCHANG","MEIXIAN","GUANGZHOU","XIAMEN","CHAOZHOU","FUZHOU","SHANGHAI","ZHONGYUAN"
   1,   1,"一","臻開三入質影","0001 0707","i 11","i 11","i 11","iəʔ 41","i 12","i 12","iəʔ 4","iôʔ 41","iai 41","i 4","i 12","it 41","jit 41","jat 41","it 41 (lit.); cit 41","ik 41","eiʔ 41","iîʔ 4","i 43"
   2,   2,"乙","臻開三入質影","0044 0718","i 2","i 11","i 11","iəʔ 41","i 12","i 12","iəʔ 4","iôʔ 41","iai 41","ie 4","iɛ 12","it 41","jat 41","jyt 41","it 41","ik 41","eiʔ 41","iîʔ 4","i 43"
   3,   3,"丁","梗開四平青端","0002 2531","tiŋ 11","tiŋ 11","tiŋ 11","tiŋ 1","tin 11","tin 11","tĩ 11","tin 11","teŋ 11","tin 11","tin 11","tin 11 (lit.); tiaŋ 11","tɛn 11","tîŋ 11","tîŋ 11","teŋ 11","tiŋ 11","tiŋ 1","tiəŋ 1"
   4,   4,"七","臻開三入質清","0003 0668","ćhi 11","ćhi 11","ćhi 11","ćhiəʔ 41","ćhi 12","ćhi 12","ćhiəʔ 4","chiôʔ 41","chai 41","chi 4","ćhi 12","ćhit 41","chit 41","čhat 41","chit 41 (lit.)","chik 41","cheiʔ 41","chîʔ 4","chi 42"
   5,   5,"乃","蟹開一上海泥","0035 1059","nai 2","nɛ 3","nɛ 2","nai 2","nai 2","nai 2","nɛ 2","ne̲ 11","na 22; na 11","nai 2","na 2","lai 2","nai 11","nai 22","naĩ 2","nai 22","nai 2","ne̲ 32","nai 2"
   6,   6,"九","流開三上有見","0046 1592","ćiou 2","ćiou 2","ćiou 2","ćiou 2","ćiou 2","ćiəu 2","ćiôɨ 2","ćiöy 2","ćiau 21","tôu 2","ćiû 2","ćiu 2","kiu 2","kau 21","kiu 2  (lit.); kau 2","kau 21","kieu 2  (lit.); kau 2","ćiɨ 3","kiou 2"
   7,   7,"了","效開四上篠來","0055 1436","liau 2","liɔ 2","liau 2","liau 2","niau 2","niau 2","liɔ 2","liä 32","liɛ 22","niau 2","niə 2","liɛu 2","liau 2","liu 22","liau 2","liəu 21","lau 2","liɔ 32","liau 2"
   8,   8,"二","止開三去至日","0059 0527","ə̂ 3","ə̂ 3","ə̂ 3","ə̂ 3","ɨ 3","ə̂ 3","â 3","l 32","ŋ 32","ô 32","ie 32","з̂ 32","ńi 3","ji 32","ʒi 32","zi 32","nei 32","liã 32","ži̲ 3"
   9,   9,"人","臻開三平真日","0086 2082","ẓən 12","ẓẽ 12","ẓẽ 12","zəŋ 1","nən 12","zən 12","lən 12","zən 12 (lit.); ńin 12","zaŋ 12","ẓən 12","in 12","lan 31","ńin 12","jan 12","ʒin 12 (lit.); laŋ 12","naŋ 12","iŋ 12 (lit.); löyŋ 12","zəŋ 32 (lit.); ńiŋ 32","žiən 12"
  10,  10,"入","深合三入緝日","0354 0904","ẓu 3","lu 3","vu 11","zuəʔ 41","y 12","zu 12","ləʔ 4","zôʔ 41","zai 42","y 4","y 31","lat 41","ńip 42","jap 42","ʒip 42","zip 42","iʔ 42","zôʔ 42","žiu 43"
  11,  11,"八","山開二入黠幫","0360 0012","pa 11","pa 11","pa 11","paʔ 41","pa 12","pa 12","paʔ 4","poʔ 41","po 41","pa 4","pa 12","pat 41","pat 41","pāt 43","pat 41 (lit.); pueʔ 41","poiʔ 41","paiʔ 41","paʔ 4","pa 42"
  12,  13,"刀","效開一平豪端","0430 1302","tau 11","tɔ 11","tau 11","tau 1","tau 11","tau 11","tɔ 11","tä 11","tз 11","tau 11","tə 11","tau 11","tau 11","tou 11","to 11","to 11","tɔ 11","tɔ 1","tau 1"
  13,  14,"刁","效開四平蕭端","0431 1421","tiau 11","tiɔ 11","tiau 11","dtiau 1","tiau 11","tiau 11","tiɔ 11","tiä 11","tiɛ 11","tiau 11","tiə 11","tiɛu 11","tiau 11","tiu 11","tiau 11","tiəu 11","tieu 11","tiɔ 1","tiau 1"
  14,  15,"力","曾開三入職來","0500 0621","li 3","li 3","li 11","liəʔ 41","ni 12","ni 12","liəʔ 4","liôʔ 42","lei 42","ni 4","ni 31","lit 41","lit 42","lîk 42","lîk 42 (lit.); lat 42","lak 42","liʔ 42","lîʔ 42","li 43"
  15,  17,"十","深開三入緝襌","0577 0493","ṣî̲ 12","ṣî̲ 12","ṣî̲ 12","səʔ 42","si̲ 12","si̲ 12","səʔ 4","zôʔ 42","zai 42","ṣî̲ 4","ṣî̲ 31","sət 41","səp 42","šap 42","sip 42 (lit.); cap 42","cap 42","seiʔ 42","zaʔ 42","ši 41"
  16,  19,"又","流開三去宥云","0642 1619","","iou 3","iou 3","iou 3","iou 3","iəu 3","iôɨ 3","iöy 32","ɦiau 32","iôu 31 (lit.); iôu 32","iû 32","iu 32","jiu 3","jau 32","iu 32","iu 22","ieu 32","iɨ 32","iou 3"
  17,  20,"三","咸開一平談心","0005 1704","san 11","sã 11","sã 11","sä̃ 1","san 11","san 11","sɛ̃ 11","se̲ 11","sa 11","san 11","sã 11","san 11","sam 11","šām 11","sam 11 (lit.); sã 11","sã XH","saŋ 11","se̲ 1","sam 3"
  18,  21,"下","A: 假開二上馬匣; B: 假開二去禡匣","A: 0007 0103; B: 0007 0104","A: śia 3; B: śia 3","A: śia 3; B: śia 3","A: śia 3; B: śia 3","A: śia 3; B: śia 3","A: śia 3  (lit.); xa 3; B: śia 3","A: śia 3; B: śia 3","A: xâ 3; śiâ 3  (lit.); B: śiâ 3  (lit.); xâ 3","A: ia̲ 32 (lit.); ɦo 32; B: śia̲ 31 (lit.); ɦo 32","A: ɦo 22; B: ɦo 22","A: ia 32 (lit.); xa 32; B: śia 32 (lit.); xa 32","A: ɣio 32 (lit.); ɣo 32; B: ɣio 32 (lit.); ɣo 32","A: ha 32; B: ha 32","A: ha 3; B: ha 3","A: ha 22; B: ha 32","A: ha 32 (lit.); he 32; e 32; B: ha 32 (lit.); he 32; e 32","A: e 22; B: hia 22","A: a 32; B: xa 32","A: ɦo 32; B: ɦo 32","A: xa 3; B: xa 2"
  19,  22,"丈","宕開三上養澄","0004 2275","c̣aŋ 3","c̣aŋ 3","c̣aŋ 3","cã̲ 3","caŋ 3","caŋ 3","câŋ 3","zaŋ 32","ʒ́i 22","c̣an 31 (lit.); c̣an 32","daŋ 32","chɔŋ 32","chɔŋ 3","čö̲ŋ 32","tiɔŋ 32 (lit.); tiũ 32; tŋ 32","ciaŋ 22","tuɔŋ 32","zã 32","čiaŋ 3"
  20,  23,"上","A: 宕開三上養襌; B: 宕開三去漾襌","A: 0006 2294; B: 0006 2296","A: ṣaŋ 3; B: ṣaŋ 3","A: ṣaŋ 3; B: ṣaŋ 3","A: ṣaŋ 3; B: ṣaŋ 3","A: sã̲ 3; B: sã̲ 3","A: saŋ 3; B: saŋ 3","A: saŋ 3; B: saŋ 3","A: sâŋ 3; B: sâŋ 3","A: zaŋ 32 (lit.); za̲ŋ 32; B: zaŋ 32 (lit.); za̲ŋ 32","A: ɦi 32; B: ɦi 32","A: ṣan 31 (lit.); ṣan 32; B: ṣan 31 (lit.); ṣan 32","A: ɣiaŋ 32; B:","A: sɔŋ 32; B: sɔŋ 32","A: sɔŋ 3; B: sɔŋ 3","A: šö̲ŋ 22; B: šö̲ŋ 32","A: siɔŋ 32 (lit.); siaŋ 32; B: siɔŋ 32 (lit.); siũ 32","A: ciẽ 22; B: ciẽ 32","A: suɔŋ 32; B: suɔŋ 32","A: zã̲ 32; B: zã̲ 32","A: šiaŋ 3; B: šiaŋ 3"
  21,  25,"丸","山合一平桓匣","0029 1979","uan 12","uã 12","uã 12","vä̃ 1","uan 12","yan 12","uõ 12","ɦuö 12","ɦy 12","yẽ 12","ɣuã 12","yɔn 31","jan 12","jyn 12","uan 12","ĩ 12","uɔŋ 12","uö 3","on 12"
  22,  26,"凡","咸合三平凡奉","0416 1651","fan 12","fã 11","fã 12","fä̃ 1","fan 12","fan 12","fɛ̃ 12","ve̲ 12","va 12","fan 12","ɣuã 12","фuan 31","fam 12","fān 12","huan 12","huam 12","xuaŋ 12","ve̲ 32","fan 12"
  23,  27,"久","流開三上有見","0036 1593","ćiou 2","ćiou 2","ćiou 2","ćiou 2","ćiou 2","ćiəu 2","ćiôɨ 2","ćiöy 2","ćiau 21","tiôu 2","ćiû 2","ćiu 2","kiu 2","kau 21","kiu 2","ku 21","kieu 2","ćiɨ 3","kiou 2"
  24,  28,"么","效開四平蕭影","8010 1485","iau 11","iɔ 11","iau 11","iau 1","iau 11","iau 11","iɔ 11","iä 11","iɛ 11","iau 11","iə 11","iɛu 11","jau 11","jiu 11","iau 11 (lit.); io 11","iəu 11","ieu 11","iɔ 1","iau 1"
  25,  29,"也","假開三上馬以","0048 0375","ie 2","ie 2","ie 2","iɛ 2","ie 2","ie 2","î 2","ia̲ 2  (lit.); ɦa̲ 2","iɛ 21","ie 2  (lit.); a 2","io 2","ia 2","ja 11","ja 22","a 2  (lit.); a 31","ia 32","ia 2","ie̲ 32","ie 2"
  26,  31,"于","遇合三平虞云","0060 1005","y 12","y 12","y 12","y 1","y 12","y 12","y 12","y 12","ɦu 12","y 12","y 12","y 31","ji 12","jy 12","u 12","i 11","y 11","y 32","iu 12"
  27,  32,"亡","宕合三平陽微","0072 2398","uaŋ 12","uaŋ 12","vaŋ 12","vã̲ 1","uaŋ 12","uaŋ 12","uâŋ 12","va̲ŋ 12","ɦuɔ 12","uan 12","aŋ 12","uɔŋ 12","mɔŋ 12","mɔŋ 12","bɔŋ 12","buaŋ 12","uɔŋ 12","uã̲ 32","vaŋ 12"
  28,  34,"刃","臻開三去震日","0432 2086","ẓən 3","ẓẽ 3","ẓẽ 3","zən 3","nən 2","zən 3","lən 2","zən 32","zaŋ 32","ẓən 31","in 2","lən 2","jim 3","jan 32","ʒim 32","zim 21","eiŋ 32","zəŋ 32","žiən 3"
  29,  35,"勺","宕開三入藥襌","0541 1375","ṣau 12","ṣɔ 12","fo 12","sau 1","so 12","sau 12; so 12","sâʔ 4","zoʔ 42","ɦia 42","so 4","śiû 31","sɔk 41","sɔk 42","čö̲k 43","ciɔk 42 (lit.); siaʔ 42","sieʔ 42","chyɔʔ 42","zoʔ 42","šiau 41"
  30,  36,"千","山開四平先清","0578 1861","ćhian 11","ćhiã 11","ćhiã 11","ćhiɛ 1","ćhian 11","ćhian 11","ćhî̃ 11","chî 11","ćhi 11","chiẽ 11","ćhî̃ 11","ćhiɛn 11","chiɛn 11","čhin 11","chian 11","koĩ 31","chieŋ 11","chî 1","chien 1"
  31,  37,"叉","假開二平麻初","0643 0062","c̣ha 11","c̣ha 11","cha 11","cha 1","cha 11","cha 11","chai 11","cho 11","cho 11","cha 11","cho 11","cha 11","cha 11","čha 11","cha 11 (lit.); che 11","che 11","cha 11","cho 1","čha 1"
  32,  38,"口","流開一上厚溪","0656 1558","khou 2","khou 2","khou 2","khou 2","khou 2","khəu 2","khôɨ 2","khöy 2","khəu 21","khôu 2","khie 2","khiɛu 2","khɛu 2","hau 21","khɔ 2  (lit.); khau 2","khau 21","keu 2  (lit.); khau 2","khôɨ 3","khou 2"
  33,  39,"土","遇合一上姥透","0960 0813","thu 2","thu 2","thou 2","thu 2","thou 2","thu 2","thu 2","thəu 2","tho̲y 21","thu 2","thəu 2","thu 2","thu 2","thou 21","thɔ 2","thou 21","thu 2  (lit.); thu 12","thu 3","thu 2"
  34,  40,"士","止開三上止崇","1102 0513","ṣî̲ 3","ṣî̲ 3","si̲ 3","si̲ 3","si̲ 3","si̲ 3","si̲ 3","zi̲ 32","zi̲ 22","si̲ 31","ʒi̲ 32","chi̲ 32","si̲ 3","ši 32","su 32","si̲ 22","söy 32","zi̲ 32","ši̲ 3"
  35,  42,"大","果開一去箇定","2192 0035","ta 3","ta 3","ta 3","ta 3","ta 3","ta 3","tai 3","da̲ 32 (lit.); dəu 32","da 32","ta 31 (lit.); tai 32","da 32","thai 32","thai 3","tai 32","tai 32 (lit.); tua 32","tai 22","tai 32","tou 32","ta 3"
  36,  43,"女","遇合三上語泥","1166 0952","ny 2","ńy 2","ńy 2","ny 2","y 2; ny 2","ńy 2","ny 2","ńy 32","ńy 22","ńy 2","ńy 2","ńy 2","ńi 2  (lit.); ŋ 2","nö̲y 22","lu 2","nɨŋ 21","ny 2","ńy 32","niu 2"
  37,  44,"子","止開三上止精","1311 0411","ci̲ 2","ci̲ 2","ci̲ 2","ci̲ 2","ci̲ 2","ci̲ 2","ci̲ 2","ci̲ 2","ci̲ 21","ci̲ 2","ci̲ 2","ci̲ 2","ci̲ 2","či 21","cu 2  (lit.); ci 2; ʒi 2; kiã 2","ci̲ 21","cy 2","ci̲ 3","ci̲ 2"
  38,  47,"寸","臻合一去慁清","1407 2169","chuən 3","chuẽ 3","chuẽ 3","chuŋ 3","chən 3","chən 3","chuən 3","chən 31","chö 31","chən 31","chuən 31","chun 2","chun 3","čhyn 31","chun 31","chuŋ 31","chauŋ 31","chəŋ 3","chuən 3"
  39,  48,"小","效開三上小心","1420 1476","śiau 2","śiɔ 2","śiau 2","śiau 2","śiau 2","śiau 2","śiɔ 2","siä 2","śiɛ 21","siau 2","śiə 2","śiɛu 2","siau 2","šiu 21","siau 2  (lit.); sio 2","siəu 21","sieu 2","ziɔ 32","siau 2"
  40,  51,"山","山開二平山生","1472 1727","ṣan 11","ṣã 11","sã 11","sä̃ 1","san 11","san 11","sɛ̃ 11","se̲ 11","sa 11","san 11","sã 11","san 11","san 11","šān 11","san 11 (lit.); suã 11","suã 11","saŋ 11","se̲ 1","šan 1"
  41,  52,"川","山合三平仙昌","1557 1942","c̣huan 11","c̣huã 11","pfhã 11","chuä̃ 1","chuan 11","chuan 11","chuõ 11","chö 11","ćhy 11","ćhyẽ 11","thuĩ 11","chɔn 11","chɔn 11","čhyn 11","chuan 11","chueŋ 11","chuɔŋ 11","chö 1","čhyen 1"
  42,  53,"工","通合一平東見","1562 2685","kuŋ 11","kuŋ 11","koŋ 11","kuŋ 1","koŋ 11","koŋ 11","kɔuŋ 11","koŋ 11","koŋ 11","koŋ 11","kaŋ 11; kən 11","kuŋ 11","kuŋ 11","kuŋ 11","kɔŋ 11","kaŋ 11","kuŋ 11","koŋ 1","kuŋ 1"
  43,  54,"己","A: 止開三上止見; B: 止開三上止以","A: 1569 0644; B: 1571 0716","A: ; B: i 2","A: ; B: i 11","A: ći 2; B: i 2","A: ći 2; B: i 2","A: ći 2; B: i 2","A: ći 2; B: i 2","A: ći 2; B: i 2","A: ći 2; B: i 31","A: ci̲ 21; B: ɦi 22","A: ći 2; B: i 2","A: ći 2; B: i 2","A: ći 2; B: i 2","A: ki 2; B: ji 2","A: kei 21; B: ji 22","A: ci 32 (lit.); ki 2; B: i 2","A: ki 21; B: i 21","A: ki 2; B: i 2","A: ći 3; B: i 1","A: ki 2; B: i 2"
  44,  57,"巾","臻開三平真見","1577 2117","ćin 11","ćiẽ 11","ćiẽ 11","ćiŋ 1","ćin 11","ćin 11","ćĩ 11","ćin 11","ćiaŋ 11","ćin 11","ćin 11","ćin 11","kin 11","kan 11","kun 11","kɨŋ 11","kyŋ 11","ćiŋ 3","kiən 1"
  45,  58,"干","山開一平寒見","1626 1738","kan 11","kã 11","kã 11","kä̃ 1","kan 11","kan 11","kɛ̃ 11","kö 11","ky 11","kan 11","kuɛ̃ 11","kɔn 2","kɔn 11","kɔn 11","kan 11","kaŋ 11","kaŋ 11","kö 1","kan 1"
  46,  65,"弓","通合三平東見","1712 2686","kuŋ 11","kuŋ 11","koŋ 11","kuŋ 1","koŋ 11","koŋ 11","kɔuŋ 11","koŋ 11","koŋ 11","koŋ 11","kaŋ 11; kən 11","kuŋ 11","kiuŋ 11","kuŋ 11","kiɔŋ 11","keŋ 11","kyŋ 11","koŋ 1","kuŋ 1"
  47,  66,"才","蟹開一平咍從","2088 1074","chai 12","chɛ 12","chɛ 12","chai 1","chai 12","chai 12","chɛ 12","ze̲ 12","ze̲ 12","chai 12","ʒ́ie 12","chai 12","chai 12","čhɔi 12","cai 12","chai 12","cai 12","ze̲ 32","chai 12"
  48,  69,"不","臻合一入物非","0008 0741","pu 3","pu 11","pu 11","pəʔ 41","pu 12","pu 12","pəʔ 4","pôʔ 41","pai 41","pu 4","pu 12","pət 41","put 41","pat 41","put 41 (lit.); m 32","puk 41","pouʔ 41","pôʔ 4","pu 42"
  49,  70,"中","A: 通合三平東知; B: 通合三去送知","A: 0022 2659; B: 0022 2664","A: c̣uŋ 11; B: c̣uŋ 3","A: c̣uŋ 11; B: c̣uŋ 3","A: pfoŋ 11; B: pfoŋ 3","A: cuŋ 1; B: cuŋ 3","A: coŋ 11; B: coŋ 3","A: coŋ 11; B: coŋ 3","A: cɔuŋ 11; B: cɔuŋ 3","A: coŋ 11; B: coŋ 31","A: ćyoŋ 11; B: ćyoŋ 31","A: c̣oŋ 11; B: c̣oŋ 31","A: ćin 11; B: ćin 31","A: cuŋ 11; B: cuŋ 31","A: cuŋ 11; B: cuŋ 3","A: čuŋ 11; B: cuŋ 31","A: tiɔŋ 11; B: tiɔŋ 31","A: toŋ 11; B: toŋ 31","A: tyŋ 11; B: töyŋ 31","A: coŋ 1; B: coŋ 3","A: čiuŋ 1; B: čiuŋ 3"
  50,  72,"丹","山開一平寒端","0030 1658","tan 11","tã 11","tã 11","tä̃ 1","tan 11","tan 11","tɛ̃ 11","te̲ 11","ta 11","tan 11","tã 11","tan 11","tan 11","tān 11","tan 11","taŋ 11","taŋ 11","te̲ 1","tan 1"
  51,  73,"之","止開三平之章","0037 0444","c̣î̲ 11","c̣î̲ 11","ci̲ 11","ci̲ 1","ci̲ 11","ci̲ 11","ci̲ 11","cü 11","ci̲ 11","c̣î̲ 11","c̣î̲ 11","ci̲ 11","ci̲ 11","či 11","ci 12","ci̲ 11","ci 11","ci̲ 1","či̲ 1"
  52,  74,"尹","臻合三上準以","1438 2151","in 2","iẽ 2","iẽ 2","iŋ 2","yn 2","yn 2","ĩ 2","in 11","ɦyoŋ 22","yn 2","uən 2","in 2","jin 2","uan 22","un 2","iŋ 21","yŋ 2","iiŋ 1","iən 2"
  53,  76,"云","臻合三平文云","0061 2215","yn 12","yẽ 12","yẽ 12","yŋ 1","yn 12","yn 12","yĩ 12","yən 12","ɦyoŋ 12","yn 12","uən 12","yn 31","jun 12","uan 12","un 12 (lit.); hun 12","huŋ 12","xuŋ 12","yiŋ 32","yən 12"
  54,  77,"井","梗開三上靜精","0064 2567","ćiŋ 2","ćiŋ 2","ćiŋ 2","ćiŋ 2","ćin 2","ćin 2","ćĩ 2","cin 2","ceŋ 21","cin 2","ćin 2  (lit.); ćiõ 2","ćin 2  (lit.); ćiaŋ 11","ciaŋ 2","čîŋ 21","cîŋ 2  (lit.); cĩ 2","cẽ 21","ciŋ 2  (lit.); ciaŋ 2","ciŋ 3","ciəŋ 2"
  55,  78,"互","遇合一去暮匣","0062 0934","xu 3","xu 11","xu 3","xu 3","xu 3","fu 3","xu 3","ŋəu 32","vu 32","fu 31","ɣəu 32","фu 32","fu 12","uu 32","hɔ 32","hu 22","xou 32","ɦu 32","xu 3"
  56,  79,"五","遇合一上姥疑","0063 0942","u 2","u 2","u 2","vu 2","u 2","vu 2","u 2","əu 11 (lit.); ŋ 32","ŋ 22","u 2","əu 2","ŋ 2; u 2  (lit.)","ŋ 2","ŋ 22","gɔ 32 (lit.); ŋɔ̃ 32","ŋou 22","u 2  (lit.); ou 32","ŋ 32","u 2"
  57,  81,"仁","臻開三平真日","0088 2083","ẓən 12","ẓẽ 12","ẓẽ 12","zəŋ 1","nən 12","zən 12","lən 12","zən 12 (lit.); ńin 12","zaŋ 12","ẓən 12","in 12","lan 31","jin 12","jan 12","ʒin 12","ziŋ 12","iŋ 12","zəŋ 32 (lit.); ńiŋ 32","žiən 12"
  58,  85,"仇","流開三平尤襌","0092 1535","c̣hou 12","c̣hou 12","c̣hou 12","chou 1","chou 12","chəu 12","chôɨ 12","zöy 12","ʒ́iu 12","c̣ôu 12","ʒ́iû 12","chɛu 12","su 12","čhau 12","siu 12","chiu 12","sieu 12","zô 32","khiou 12"
  59,  86,"仍","曾開三平蒸日","3095 2495","ẓəŋ 12","ẓəŋ 12","vəŋ 12","zəŋ 1","nən 12","zən 12","lən 12","zən 32","zeŋ 12","ẓən 12","in 32","lən 31","jin 12","jîŋ 12","lîŋ 12","zoŋ 12","iŋ 12","zəŋ 32",""
  60,  87,"今","深開三平侵見","0093 2113","ćin 11","ćiẽ 11","ćiẽ 11","ćiŋ 1","ćin 11","ćin 11","ćĩ 11","ćin 11","ćiaŋ 11","ćin 11","ćin 12","ćin 11","kin 11","kam 11","kim 11 (lit.); kin 11","kim 11","kiŋ 11","ćiŋ 1","kiəm 1"
  61,  88,"介","蟹開二去怪見","0094 0352","ćie 3","ćiä 3","ćie 3","ćiɛ 3","kai 3","ćiai 3","ćiɛ 3","ćia̲ 31 (lit.); ka̲ 31","ka 31","kai 31","ka 31","kai 31","kiai 3","kāi 31","kai 31","kai 31","kai 31","ka 3","kiai 3"
  62,  90,"元","山合三平元疑","0337 2017","yan 12","yã 12","yã 12","yɛ 1","yan 12","yan 12","yî̃ 12","iö 12","ńy 12","yẽ 12","uĩ 12","ńyɔn 31","ńian 12","jyn 12","guan 12","ŋueŋ 12","ŋuɔŋ 12","yö 32","yen 12"
  63,  91,"允","臻合三上準以","0336 2216","yn 2","yẽ 2","yẽ 2","yŋ 1","yn 2","yn 2","yĩ 2","yən 2","ɦyoŋ 22","yn 2","uən 2","yn 2","jun 11","uan 22","un 2","zuŋ 21","yŋ 2","yiŋ 3","yən 2"
  64,  92,"內","蟹合一去隊泥","0355 1167","nei 3","nei 3","nuei 3","nuei 3","nei 3","nuei 3","nuəi 3","ne̲ 32","nai 32","nei 32","nue 32","lui 32","nui 3","nɔi 32","lue 32 (lit.); lai 32","lai 22","no̲y 32","ne̲ 32","nuei 3"
  65,  93,"六","通合三入屋來","0362 1586","liou 3","liou 3","liou 11","liou 3; luəʔ 41","nou 12","niəu 12; nu 12","lɔʔ 4","loʔ 42","liu 42","nou 4","nəu 31","liuk 41","liuk 41","luk 42","liɔk 42; lak 42","lak 42","löyʔ 42","loʔ 42","liou 43"
  66,  95,"公","通合一平東見","0361 2684","kuŋ 11","kuŋ 11","koŋ 11","kuŋ 1","koŋ 11","koŋ 11","kɔuŋ 11","koŋ 11","koŋ 11","koŋ 11","kaŋ 11; kən 11","kuŋ 11","kuŋ 11","kuŋ 11","kɔŋ 11","koŋ 11","kuŋ 11 (lit.); köyŋ 11","koŋ 1","kuŋ 1"
  67,  97,"凶","通合三平鍾曉","0423 2717","śyŋ 11","śyŋ 11","śyŋ 11","śyŋ 1","śioŋ 11","śyoŋ 11","śiɔuŋ 11","śioŋ 11","śyɔ 11","śioŋ 11","śin 11","śiuŋ 11","hiuŋ 11","huŋ 11","hiɔŋ 11","hioŋ 11","xyŋ 11","śioŋ 1","xiuŋ 1"
  68,  98,"分","臻合三平文非","0433 2034","fən 11","fẽ 11","fẽ 11","fəŋ 1","fən 11","fən 11","fən 11","fən 11","faŋ 11","fən 11","xuən 11","фun 11","fun 11","fan 11","hun 11 (lit.); pun 11","huŋ 11","xuŋ 11 (lit.); puɔŋ 11","fəŋ 1","fən 1"
  69,  99,"切","山開四入屑清","0434 0355","ćhie 11","ćhie 11","ćhie 11","ćhiəʔ 41","ćhie 12","ćhie 12","ćhiəʔ 4","chiôʔ 41","ćhi 41","chie 4","ćhiɛ 12","ćhiɛt 41","chiɛt 41","čhit 43","chiat 41","chiek 41","chieʔ 41","chîʔ 4","chie 42"
  70, 101,"勻","臻合三平諄以","0542 2214","yn 12","yẽ 12","yẽ 12","yŋ 1","yn 12","yn 12","yĩ 12","yən 12","ɦyoŋ 12","yn 12","uən 12","yn 31","jun 12","uan 12","un 12","uŋ 12","yŋ 12","yiŋ 32","yən 12"
  71, 102,"勾","流開一平侯見","0551 1553","kou 11","kou 11","kou 11","kou 1","kou 11","kəu 11","kôɨ 11","köy 11","kəu 11","kôu 11","kie 11","kiɛu 11","kɛu 11","kau 11","kau 11","kau 11","keu 11 (lit.); kau 11","",""
  72, 103,"勿","臻合三入物微","0543 0951","u 3","u 3","vo 11","vəʔ 41","u 12","vu 12","uəʔ 4","vôʔ 42","fai 11","fu 4","xəu 12","фut 41","vut 42","mat 42","but 42 (lit.); mĩ 12","mai 31","uʔ 42","fôʔ 4  (lit.); vôʔ 42","u 43"
  73, 104,"化","假合二去禡曉","0553 0131","xua 3","xua 3","xua 3","xua 3","xua 3","xua 3","xuâ 3","ho 31","xo 31","fa 31","xo 31","фua 31","fa 3","fa 31","hua 31","hue 32","xua 31","ho 3","xua 3"
  74, 105,"匹","臻開三入質滂","0572 0554","phi 2","phi 11","phi 2","phiəʔ 41","phi 12","phi 12","phiəʔ 4","phiôʔ 41","phi 41","phi 4","phi 12","phit 41","phit 41","phat 41","phit 41","phik 41","pheiʔ 41","phîʔ 4","phi 42"
  75, 106,"午","遇合一上姥疑","0582 0941","u 2","u 2","u 2","vu 2","u 2","vu 2","u 2","əu 11 (lit.); ŋ 12","ŋ 12","u 2","əu 2","u 2","ŋ 2","ŋ 22","ŋɔ 2","ŋou 21","ŋu 2","ɦu 32","u 2"
  76, 107,"升","曾開三平蒸書","0581 2482","ṣəŋ 11","ṣəŋ 11","ṣəŋ 11","səŋ 1","sən 11","sən 11","sən 11","sən 11","seŋ 11","ṣən 11","śin 11","sən 11","sən 11","šîŋ 11","sîŋ 11","seŋ 11","siŋ 11","səŋ 1","šiəŋ 1"
  77, 111,"友","流開三上有云","0645 1618","iou 2","iou 2","iou 2","iou 2","iou 2","iəu 2","iôɨ 2","iöy 32","ɦiau 22","iôu 2","iû 2","iu 2","jiu 2","jau 22","iu 2","iu 21","ieu 2","iɨ 32","iou 2"
  78, 112,"及","深開三入緝群","0644 0635","ći 12","ći 11","ći 2","ćiəʔ 42","ći 12","ći 12","ćiəʔ 4","ʒ́iôʔ 42","ʒ́iai 42","ći 4","ćhi 31","ćit 41","khip 42","khap 42","kip 41 (lit.); kap 41","kip 42","kiʔ 42","ćîʔ 42","ki 41"
  79, 113,"反","山合三上阮非","0646 1653","fan 2","fã 2","fã 2","fä̃ 2","fan 2","fan 2","fɛ̃ 2","fe̲ 2","fa 21","fan 2","xuã 2","фuan 2","fan 2","fān 21","huan 2  (lit.); pîŋ 2","hueŋ 21","xuaŋ 2","fe̲ 3","fan 2"
  80, 115,"天","山開四平先透","1131 1798","thian 11","thiã 11","thiã 11","thiɛ 1","thian 11","thian 11","thî̃ 11","thî 11","thi 11","thiẽ 11","thî̃ 11","thiɛn 11","thiɛn 11","thin 11","thian 11 (lit.); thĩ 11","thieŋ 11","thieŋ 11","thî 1","thien 1"
  81, 116,"夫","遇合三平虞非","1133 0764","fu 11","fu 11","fu 11","fu 1","fu 11","fu 11","fu 11","fu 11","fo̲y 11","fu 11","xəu 11","фu 11","fu 11","fu 11","hu 11","hu 11","xu 11","fu 3","fu 1; fu 12"
  82, 117,"太","蟹開一去泰透","1132 1057","thai 3","thɛ 3","thɛ 3","thai 3","thai 3","thai 3","thɛ 3","the̲ 31 (lit.); tha̲ 31","tha 31","thai 31","tha 31","thai 32","thai 3","thāi 31","thai 31","thai 31","thai 31","tha 1; thôʔ 4","thai 3"
